loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
2023-11-06T09:24:37.756+02:00,0,0,0,0,0,-1,0,-1,-1,-1,0,389532.6369536667,-0.002410888671875,0.2084197998046875,-1.13671875,389532.6319746667,-0.06296256286531701,-0.1231998778633471,-0.1787357641264371,0.1060262247920036,-0.696662425994873,-0.1140696555376053,0.08012872189283371,0.02866582572460175,-0.1723305583000183,XArbitraryZVertical,-0.09096551987711707,-0.05848105765955654,-0.02579947682695621,0.9938006281062423,-0.1209307461977005,0.1777856200933456,-0.9766104817390442,0,0,0,-1,-1,389475.412748125,unknown,2,2023-11-06T09:23:40.501+02:00,2023-11-06T09:23:03.878+02:00,9,0.5993428,0,0,7.403943,0,0,2023-11-06T09:23:25.206+02:00,720948276.6627376,0,-0.9899902,101.7212,1,0.7
2023-11-06T09:24:37.762+02:00,0,0,0,0,0,-1,0,-1,-1,-1,0,389532.6568676667,-0.1030120849609375,0.1146240234375,-1.129150390625,389532.6518896667,-0.06634765210512725,-0.1364488532840116,-0.180072775081317,-0.2683314085006714,-0.6080441474914551,-0.1753137707710266,0.0903235524892807,-0.01697650551795959,-0.1660302877426147,XArbitraryZVertical,-0.09190819422454069,-0.06488269346257484,-0.02683029158743847,0.9932891020549728,-0.1338263899087906,0.1791011691093445,-0.9746862649917603,0,0,0,-1,-1,389475.412748125,unknown,2,2023-11-06T09:23:40.501+02:00,2023-11-06T09:23:03.878+02:00,9,0.5993428,0,0,7.403943,0,0,2023-11-06T09:23:25.206+02:00,720948276.6627376,0,-0.9899902,101.7212,1,0.7
2023-11-06T09:24:37.776+02:00,0,0,0,0,0,-1,0,-1,-1,-1,0,389532.6767826667,-0.1068572998046875,0.17279052734375,-1.137863159179688,389532.6718036667,-0.07102295314355073,-0.1496714178208016,-0.1862111672498656,-0.3478921055793762,-0.6471561193466187,-0.2087352722883224,0.06496196985244751,-0.06636244058609009,-0.1687920093536377,XArbitraryZVertical,-0.09529544516248442,-0.07110350559112813,-0.02830461124732977,0.9925029069338196,-0.1465354710817337,0.1851368993520737,-0.97172611951828,0,0,0,-1,-1,389475.412748125,unknown,2,2023-11-06T09:23:40.501+02:00,2023-11-06T09:23:03.878+02:00,9,0.5993428,0,0,7.403943,0,0,2023-11-06T09:23:25.206+02:00,720948276.6627376,0,-0.9899902,101.7212,1,0.7
2023-11-06T09:24:37.790+02:00,0,0,0,0,0,-1,0,-1,-1,-1,0,389532.6966966667,-0.176605224609375,0.260345458984375,-1.103073120117188,389532.6917186667,-0.07714353215771046,-0.1636452336249194,-0.1915385029905816,-0.2486617416143417,-0.6192474961280823,-0.3166801631450653,0.02060846984386444,0.03124921023845673,-0.1560980081558228,XArbitraryZVertical,-0.09836941566048325,-0.07762121520818847,-0.03044749564395135,0.9916508562811316,-0.1599364876747131,0.1903694868087769,-0.9685968160629272,0,0,0,-1,-1,389475.412748125,unknown,2,2023-11-06T09:23:40.501+02:00,2023-11-06T09:23:03.878+02:00,9,0.5993428,0,0,7.403943,0,0,2023-11-06T09:23:25.206+02:00,720948276.6627376,0,-0.9899902,101.7212,1,0.7
2023-11-06T09:24:37.809+02:00,0,0,0,0,0,-1,0,-1,-1,-1,0,389532.7166116667,-0.2503204345703125,0.2907867431640625,-1.013153076171875,389532.7116326667,-0.08392314931639752,-0.1755795812117606,-0.1940845364926956,-0.1266230940818787,-0.428721010684967,-0.2380673289299011,-0.05017371475696564,0.09672823548316956,-0.09767341613769531,XArbitraryZVertical,-0.1000926251153071,-0.08313892738382322,-0.03310354995415633,0.9909457744525556,-0.1713991761207581,0.1928683370351791,-0.9661387801170349,0,0,0,-1,-1,389475.412748125,unknown,2,2023-11-06T09:23:40.501+02:00,2023-11-06T09:23:03.878+02:00,9,0.5993428,0,0,7.403943,0,0,2023-11-06T09:23:25.206+02:00,720948276.6627376,0,-0.9899902,101.7212,1,0.7
2023-11-06T09:24:37.829+02:00,0,0,0,0,0,-1,0,-1,-1,-1,0,389532.7365256667,-0.2293548583984375,0.2083892822265625,-0.9154205322265625,389532.7315476667,-0.08572454907713893,-0.1823713462098955,-0.197273334531624,-0.2194061130285263,-0.2252621352672577,0.0980217307806015,-0.06757786870002747,0.0558805912733078,0.003908753395080566,XArbitraryZVertical,-0.1018604554784258,-0.08633140667517424,-0.03350472457458512,0.9904790870326579,-0.1778445243835449,0.1959962844848633,-0.9643426537513733,0,0,0,-1,-1,389475.412748125,unknown,2,2023-11-06T09:23:40.501+02:00,2023-11-06T09:23:03.878+02:00,9,0.5993428,0,0,7.403943,0,0,2023-11-06T09:23:25.206+02:00,720948276.6627376,0,-0.9899902,101.7212,1,0.7
2023-11-06T09:24:37.849+02:00,0,0,0,0,0,-1,0,-1,-1,-1,0,389532.7564406667,-0.23822021484375,0.188812255859375,-0.859283447265625,389532.7514616667,-0.08192359201320934,-0.1848396907507001,-0.2060822973277227,-0.5915096998214722,0.02023630030453205,0.3760473132133484,-0.04679983854293823,0.0003294050693511963,0.08213090896606445,XArbitraryZVertical,-0.1060932225206579,-0.08752770204851179,-0.03107458973062403,0.9900088122061927,-0.1799000054597855,0.2046266794204712,-0.9621662497520447,0,0,0,-1,-1,389475.412748125,unknown,2,2023-11-06T09:23:40.501+02:00,2023-11-06T09:23:03.878+02:00,9,0.5993428,0,0,7.403943,0,0,2023-11-06T09:23:25.206+02:00,720948276.6627376,0,-0.9899902,101.7212,1,0.7
2023-11-06T09:24:37.869+02:00,0,0,0,0,0,-1,0,-1,-1,-1,0,389532.7763546667,-0.138946533203125,0.2921905517578125,-0.8279571533203125,389532.7713766667,-0.08351975064475349,-0.1852554591309123,-0.2194542164912949,-0.6420654058456421,-0.1445731520652771,-0.1046042665839195,-0.06022559106349945,-0.05651834607124329,0.1272695660591125,XArbitraryZVertical,-0.1127808015861305,-0.08730683984122228,-0.03119871722788211,0.989284885142078,-0.179779902100563,0.2176969647407532,-0.9593160152435303,0,0,0,-1,-1,389475.412748125,unknown,2,2023-11-06T09:23:40.501+02:00,2023-11-06T09:23:03.878+02:00,9,0.5993428,0,0,7.403943,0,0,2023-11-06T09:23:25.206+02:00,720948276.6627376,0,-0.9899902,101.7212,1,0.7
2023-11-06T09:24:37.889+02:00,0,0,0,0,0,-1,0,-1,-1,-1,0,389532.7962696667,-0.1702423095703125,0.29962158203125,-0.813507080078125,389532.7912906667,-0.08805628573196039,-0.1914452456301763,-0.2295841907226317,-0.5259069204330444,-0.2974221110343933,-0.1600934565067291,0.09679950773715973,0.1126678735017776,0.1249923706054688,XArbitraryZVertical,-0.1180843229942639,-0.0898371906552667,-0.03258734259041741,0.9883943482837321,-0.1852852553129196,0.2275726497173309,-0.9559707641601562,0,0,0,-1,-1,389475.412748125,unknown,2,2023-11-06T09:23:40.501+02:00,2023-11-06T09:23:03.878+02:00,9,0.5993428,0,0,7.403943,0,0,2023-11-06T09:23:25.206+02:00,720948276.6627376,0,-0.9899902,101.7212,1,0.7
2023-11-06T09:24:37.909+02:00,0,0,0,0,0,-1,0,-1,-1,-1,0,389532.8161836667,-0.2505035400390625,0.21051025390625,-0.77105712890625,389532.8112056667,-0.0937605314444262,-0.1978992206832159,-0.2410627705084018,-0.681179404258728,-0.2319051325321198,-0.1702319085597992,-0.04613560438156128,0.007053807377815247,0.1710183024406433,XArbitraryZVertical,-0.1241160669431657,-0.09235650154399262,-0.03443030833304179,0.9873601904721029,-0.1909249722957611,0.2387347966432571,-0.9521309733390808,0,0,0,-1,-1,389475.412748125,unknown,2,2023-11-06T09:23:40.501+02:00,2023-11-06T09:23:03.878+02:00,9,0.5993428,0,0,7.403943,0,0,2023-11-06T09:23:25.206+02:00,720948276.6627376,0,-0.9899902,101.7212,1,0.7
